槐柏树街南里|(西城长椿街)槐柏树街南里|89981|1980年建成|板楼|暂无信息|街道办事处（委员会）代管物业|北京金隅大成开发有限公司|12栋
恒基中心|(东城建国门外)建国门内大街18号|65591|1993年建成|塔楼|暂无信息|北京中海物业管理有限公司|北京恒兆置业有限公司|1栋
六一小学教工楼|(石景山苹果园)八大处路6号|暂无参考均价|暂无信息|未知类型|暂无信息|暂无信息|暂无信息|1栋
中煤资源大厦|(石景山鲁谷)玉泉路59号院|暂无参考均价|暂无信息|未知类型|暂无信息|暂无信息|暂无信息|1栋
青年湖南里|(东城安定门)青年湖南里|85716|1990年建成|塔板结合|暂无信息|暂无信息|暂无信息|3栋
地兴居|(东城安定门)安外地兴居|83236|1970年建成|板楼|0.8元/平米/月|无物业管理服务|无开发商|4栋
电力培训中心宿舍楼|(石景山苹果园)模式口街道办事处华北电力培训中心家属楼|暂无参考均价|暂无信息|未知类型|暂无信息|暂无信息|暂无信息|1栋
灯市口大街|(东城灯市口)灯市口大街, 灯市口大街72-76号院|111519|1986年建成|板楼/塔板结合|0.5至0.8元/平米/月|街道办事处（委员会）代管物业|无开发商|7栋
幸福北里|(东城广渠门)幸福北里|83947|1960年建成|板楼|暂无信息|无物业管理服务|无开发商|31栋
八大处路22号院|(石景山苹果园)八大处路22号院|暂无参考均价|暂无信息|未知类型|暂无信息|暂无信息|暂无信息|1栋
胜古中路1号院|(东城安贞)胜古中路1号院|53428|1996年建成|板楼/塔板结合|2.06元/平米/月|无物业管理服务|北京全联房地产开发有限公司|2栋
黄寺大街2号院|(东城安定门)黄寺大街2号院|85921|1990年建成|板楼|0.5元/平米/月|单位自管物业|无开发公司|2栋
鼓楼外大街52号|(东城安定门)鼓楼外大街52号|107439|1992年建成|塔板结合|1.8元/平米/月|单位自管物业|水利电力规划院|1栋
白菜湾社区|(西城天宁寺)广外南街|94306|1991年建成|板楼|0.59元/平米/月|单位自管物业|无开发商|6栋
金宸国际公寓|(西城金融街)广成街4号院|121384|2000年建成|塔楼/板楼|4.26至5.86元/平米/月|北京宝宸物业管理有限公司|北京金宸房地产开发有限公司|3栋
小石桥胡同11号院|(西城六铺炕)小石桥胡同11号院|130388|1976年建成|板楼|暂无信息|单位自管物业|北京市西城区城市建设开发公司|3栋
怡龙别墅|(东城左安门)龙潭东路8号|80984|1994年建成|板楼|5元/平米/月|北京城建物业管理有限责任公司|北京帝苑房地产开发有限公司|30栋
华远北街|(西城金融街)华远北街1号|132284|2000年建成|塔板结合|1.2元/平米/月|北京联达物业管理有限责任公司|北京市华远地产股份有限公司|1栋
北新仓胡同|(东城东直门)北新仓胡同|106807|2002年建成|塔楼/板楼/塔板结合|0.5元/平米/月|北京市东旭佳业物业管理有限责任公司|北京市东城区住宅建设开发公司|4栋
